frame,tl,tr,br,bl,h1,h2,a1,a2
38,"(312.0, 71.5)","(524.0, 71.5)","(526.5, 89.5)","(310.0, 90.5)","(910.5, 238)","(467.5, 292)","(648.5, 251)","(682.0, 188)"
39,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(910.5, 239)","(467.5, 292)","(646.0, 251)","(682.0, 188)"
40,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)","(910.5, 242)","(467.5, 294)","(647.5, 252)","(682.0, 190)"
41,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(309.0, 90.5)","(911.5, 242)","(467.0, 294)","(646.5, 254)","(683.0, 190)"
42,"(313.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)","(911.5, 243)","(467.0, 295)","(647.5, 254)","(683.0, 190)"
43,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 89.5)","(911.5, 244)","(467.0, 295)","(646.0, 256)","(683.5, 191)"
44,"(312.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)","(910.5, 247)","(466.5, 295)","(646.5, 255)","(684.0, 194)"
45,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(309.0, 90.5)","(910.5, 251)","(466.5, 296)","(645.5, 255)","(684.0, 195)"
46,"(313.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)","(910.5, 252)","(466.5, 297)","(644.5, 255)","(684.0, 195)"
47,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(910.0, 252)","(466.5, 299)","(643.5, 256)","(684.0, 196)"
48,"(313.0, 71.5)","(524.0, 72.5)","(527.5, 90.5)","(310.0, 90.5)","(907.5, 254)","(465.5, 300)","(644.0, 258)","(683.0, 197)"
49,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)","(906.5, 258)","(466.5, 301)","(643.5, 258)","(682.5, 197)"
50,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(905.0, 261)","(467.5, 302)","(642.5, 259)","(683.5, 200)"
51,"(312.0, 71.5)","(523.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)","(903.5, 262)","(467.0, 303)","(642.0, 259)","(682.5, 200)"
52,"(312.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)","(902.5, 264)","(466.5, 305)","(642.0, 259)","(681.5, 200)"
53,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)","(898.5, 266)","(467.0, 305)","(640.0, 260)","(680.5, 201)"
54,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)","(897.5, 268)","(467.0, 306)","(639.0, 260)","(680.5, 203)"
55,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)","(894.5, 271)","(467.0, 308)","(638.0, 261)","(679.0, 204)"
56,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(892.0, 273)","(466.5, 308)","(637.0, 261)","(678.5, 204)"
57,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)","(889.5, 274)","(467.5, 309)","(635.0, 262)","(676.5, 204)"
58,"(313.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)","(886.5, 276)","(466.5, 311)","(633.0, 265)","(673.5, 205)"
59,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)","(883.5, 279)","(466.5, 312)","(632.0, 265)","(673.0, 207)"
60,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(879.5, 280)","(466.5, 312)","(629.0, 264)","(670.5, 208)"
61,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(875.5, 284)","(466.0, 314)","(627.0, 265)","(669.5, 208)"
62,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(871.5, 284)","(465.5, 314)","(625.0, 266)","(667.5, 209)"
63,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(867.5, 285)","(466.5, 316)","(622.5, 268)","(665.5, 209)"
64,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)","(864.0, 285)","(464.5, 318)","(617.5, 268)","(663.5, 211)"
65,"(312.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)","(857.0, 285)","(464.5, 324)","(614.5, 269)","(660.5, 213)"
66,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)","(853.0, 287)","(465.0, 325)","(612.5, 273)","(658.5, 213)"
67,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)","(848.5, 289)","(463.5, 323)","(608.5, 273)","(656.5, 215)"
