,tl,bl,tr,br,cb1,cb2
67,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 72.0)","(528.0, 91.5)","(291.5, 163.5)","(388.5, 166.5)"
68,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 72.0)","(528.0, 91.5)","(289.5, 163.5)","(386.5, 167.5)"
69,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 72.0)","(528.0, 91.5)","(286.0, 164.5)","(383.5, 167.5)"
70,"(314.5, 72.0)","(311.0, 90.5)","(523.5, 72.0)","(528.0, 91.5)","(285.5, 166.5)","(381.5, 168.5)"
71,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 72.0)","(528.0, 91.5)","(281.5, 167.5)","(378.5, 169.5)"
72,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 72.0)","(528.0, 90.5)","(278.5, 166.5)","(375.5, 171.5)"
73,"(313.5, 72.0)","(310.0, 90.5)","(522.5, 71.0)","(528.0, 91.5)","(276.5, 166.5)","(374.5, 170.5)"
74,"(313.5, 72.0)","(310.0, 90.5)","(522.5, 71.0)","(528.0, 91.5)","(273.5, 167.5)","(370.5, 169.5)"
75,"(314.5, 72.0)","(310.0, 90.5)","(522.5, 71.0)","(528.0, 91.5)","(270.0, 168.5)","(366.5, 170.5)"
76,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 71.0)","(528.0, 91.5)","(267.0, 169.5)","(365.5, 171.5)"
77,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 71.0)","(528.0, 91.5)","(264.0, 169.5)","(362.5, 173.5)"
78,"(313.5, 72.0)","(311.0, 90.5)","(523.5, 71.0)","(528.0, 91.5)","(261.0, 170.5)","(358.5, 173.5)"
79,"(314.5, 72.0)","(311.0, 90.5)","(522.5, 71.0)","(528.0, 91.5)","(258.0, 170.5)","(355.5, 172.5)"
80,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 71.0)","(528.0, 91.5)","(256.0, 171.5)","(352.5, 172.5)"
81,"(313.5, 72.0)","(311.0, 90.5)","(522.5, 71.0)","(528.0, 90.5)","(252.0, 172.5)","(350.5, 173.5)"
82,"(314.5, 71.0)","(311.0, 90.5)","(522.5, 71.0)","(529.0, 91.5)","(248.5, 171.5)","(346.5, 175.5)"
83,"(313.5, 71.0)","(312.0, 90.5)","(523.5, 72.0)","(530.0, 91.5)","(245.5, 171.5)","(343.5, 174.5)"
84,"(315.5, 71.0)","(313.0, 90.5)","(524.5, 72.0)","(530.0, 92.5)","(241.0, 173.5)","(339.5, 174.5)"
